created,downs,id,score,title,ups,url,status
2018-09-30 09:04:38,0,9k3acm,0,Brutal cruce en las redes entre Rocío y Morena Rial,0,https://www.clarin.com/espectaculos/fama/brutal-cruce-redes-rocio-morena-rial_0_kMNCjL0k_.html,200
2018-09-30 06:37:26,0,9k2e06,0,"Con Pampita, Mariano Peluffo y otras figuras llega un nuevo canal a la grilla de la televisión",0,https://www.clarin.com/sociedad/pampita-mariano-peluffo-figuras-llega-nuevo-canal-grilla-television_0_Z8I55GPSu.html,200
2018-09-30 04:54:45,0,9k1q1v,6,La Justicia duda del testimonio de la docente secuestrada y torturada en Moreno,6,https://www.clarin.com/sociedad/justicia-duda-testimonio-docente-secuestrada-torturada-moreno_0_ppv7BCCls.html,200
2018-09-29 17:09:20,0,9jw3pz,178,Imputaron a Baby Etchecopar por discriminación y violencia de género,178,https://www.clarin.com/sociedad/imputaron-baby-etchecopar-discriminacion-violencia-genero_0_pssNGC0Lb.html,200
2018-10-01 05:38:23,0,9kbmii,0,"Diego Maradona, exclusivo: ""A Messi le diría que no venga más a la Selección""",0,https://www.clarin.com/deportes/futbol/diego-maradona-exclusivo-messi-diria-venga-seleccion_0_vX_tx7ewl.html,200
2018-10-01 04:58:54,0,9kbbwe,4,"Guido Sandleris: ""Va a haber menos pesos para ir al dólar y así veremos caer la tasa de inflación""",4,https://www.clarin.com/politica/guido-sandleris-va-pesos-ir-dolar-veremos-caer-tasa-inflacion_0_yEErmC52q.amp.html,200
2018-10-01 03:10:45,0,9kaiuw,43,"Argentina's newspaper ""Clarín"" reports: Jehovah's Witnesses must pay $35M for failure to report abuse",43,https://www.clarin.com/mundo/testigos-jehova-deberan-pagar-35-millones-dolares-abuso-sexual_0_R1tUIZtVC.html,200
2018-10-01 02:17:42,0,9ka3rh,1,"Una encuesta midió la superposición de votos: Macri/Vidal, Cristina/Kicillof, Massa/Lavagna",1,https://www.clarin.com/politica/encuesta-midio-superposicion-votos-macri-vidal-cristina-kicillof-massa-lavagna_0_8BECAcdfv.html,200
2018-09-30 21:36:21,0,9k7qj1,5,YPF aumentó las naftas un 10% y se esperan más ajustes en las otras petroleras,5,https://www.clarin.com/economia/ypf-aumento-naftas-10-espera-ajustes-petroleras_0_wgmIKUZ6t.html,200
2018-10-03 07:25:01,0,9kx48b,21,"Inhiben los bienes de Andrea del Boca y Julio De Vido por la novela ""Mamá Corazón""",21,https://www.clarin.com/politica/inhiben-bienes-andrea-boca-julio-vido-novela-mama-corazon_0_SjxBjB2GA.html,200
2018-10-03 03:50:22,0,9kvhyk,0,Se filtró un violento video de Sol Pérez: ¿Ataque de ira o publicidad?,0,https://www.clarin.com/espectaculos/fama/filtro-escandaloso-violento-video-sol-perez_0_X0IWF2z24.html,200
2018-10-02 17:36:33,0,9kq7td,38,"Adiós a un maestro: murió Hermenegildo ""Menchi"" Sábat",38,https://www.clarin.com/sociedad/adios-maestro-murio-hermenegildo-menchi-sabat_0_NMPg3j1du.html,200
2018-10-02 15:28:23,0,9kpggm,0,"Escándalo: Connie Ansaldi se ""pasó de copas"" en la tele y la mataron en las redes",0,https://www.clarin.com/espectaculos/fama/escandalo-connie-ansaldi-paso-copas-tele-mataron-redes_0_4KPZcrDQ1.html,200
2018-10-02 05:02:47,0,9klrw6,18,"El ""jardinero"" de Cristina Kirchner dijo que no llevó bolsos con plata: ""Yo transportaba alimentos""",18,https://www.clarin.com/politica/jardinero-cristina-kirchner-dijo-llevo-bolsos-plata-transportaba-alimentos_0_AL5lm190K.html,200
2018-10-02 04:34:35,0,9klka6,9,La Ciudad tiene 59.000 indigentes más que hace un año,9,https://www.clarin.com/economia/ciudad-59-000-indigentes-hace-ano_0_ZZN4_G-fx.html,200
2018-10-02 03:33:02,0,9kl32x,4,El FMI se confiesa: sacrificó a Grecia para salvar al euro y a los bancos europeos - 01/08/2016 - Clarín.com,4,https://www.clarin.com/economia/fmi-confiesa-sacrifico-grecia-europeos_0_HJiKYyKu.html,200
2018-10-01 21:08:22,0,9kho4h,1,Lo que hay detrás de las marcas deportivas,1,https://www.clarin.com/cultura/detras-marcas-deportivas_0_1Crz_fU6D.html,200
2018-10-01 20:38:41,0,9kheod,49,"Bud Sex, sexo entre hombres heterosexuales sólo por placer",49,https://www.clarin.com/buena-vida/bud-sex-sexo-hombres-heterosexuales-solo-placer_0_eSSRGt3K0.html?Echobox=1538361486#utm_medium=Social&amp;utm_source=Facebook,200
2018-10-04 18:19:49,0,9lbtmb,54,Impuesto a las Ganancias: lo pagan 560.000 trabajadores más que en 2015,54,https://www.clarin.com/economia/impuesto-ganancias-pagan-560-000-trabajadores-2015_0_dvWQfAhgm.html,200
2018-10-04 08:01:04,0,9l84dg,44,Facundo Jones Huala denunció que en la cárcel de Chile tiene frío,44,https://www.clarin.com/politica/facundo-jones-huala-denuncio-carcel-chile-frio_0_FB6v97UIC.html?Echobox=1538602564#utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter,200
2018-10-03 23:21:43,0,9l3svb,19,Armas: la Cámara de Casación absolvería a Carlos Menem por prescripción,19,https://www.clarin.com/politica/armas-camara-casacion-absolveria-carlos-menem-prescripcion_0_f8cMbDyJ3.html,200
2018-10-03 22:33:27,0,9l3c0q,64,El violento ataque racista en Palermo de una mujer que insulta y discrimina a dos venezolanas,64,https://www.clarin.com/sociedad/violento-ataque-racista-mujer-insulta-discrimina-venezolanas_0_E3_0xwZe1.html,200
2018-10-03 08:11:01,0,9kxghl,7,Lanzan un satélite argentino que anticipará desastres naturales,7,https://www.clarin.com/sociedad/cohete-elon-musk-lanzan-satelite-argentino-anticipara-desastres-naturales_0_OiU7Y13KM.html,200
2018-10-03 07:38:44,0,9kx7zm,12,"Un fenómeno imparable! Beto, el ex rockero que puede demoler a Donald Trump en Texas",12,https://www.clarin.com/mundo/beto-ex-rockero-puede-demoler-donald-trump-texas_0_0Xy2-JgTl.html,200
2018-10-05 07:52:17,0,9lijra,54,"Un docente denuncia que lo echaron de un colegio religioso por decir ""todes"" en clase -",54,https://www.clarin.com/sociedad/docente-denuncia-echaron-colegio-religioso-decir-todes-clase_0_ga0HtM7Rd.html,200
2018-10-04 21:19:16,0,9ldd5n,118,Albergues transitorios: por unanimidad aprobaron permitir el ingreso de tríos y swingers,118,https://www.clarin.com/ciudades/albergues-transitorios-legislatura-aprueba-permitir-trios-parejas-swinger_0_DeFaMEZhx.html,200
2018-10-04 20:58:56,0,9ld66h,0,"Quién es el ""Minotauro"" que apuesta a la revolución de UFC Argentina",0,https://www.clarin.com/deportes/polideportivo/minotauro-apuesta-ufc-argentina-revolucionara-mma-locales_0_TYb1xf57r.html,200
2018-10-04 20:15:33,0,9lcsdl,19,"Maradona, when asked about his thoughts on a possible Kirchner bid for the Argentine presidency: ""I'd run as vice-president with her""",19,https://www.clarin.com/deportes/futbol/diego-maradona-deseo-cristina-kirchner-acompanarla-formula_0_lmB3cZ5Kw.html,200
